newsletter,wine_name,vendor_description,score,review,price,detail_link
November 2017 Newsletter,"Patria ""Oakville Ranch"" Napa Valley Cabernet Sauvignon 2015","This new project from Tony Biagi, former winemaker of Plumpjack, comes from Oakville Ranch, located near Dalle Valle and Ovid. Only a few cases available.",['94-96'],"(12/30/2016) ""There are three cuvées in 2015, starting with the 225- case cuvée of the 2015 Oakville Ranch Cabernet Sauvignon, which has an opaque purple color, a knockout nose of black fruits, creosote, burning embers and white flowers. It is a blend of 80% Cabernet Sauvignon and the rest I believe Petit Verdot and Cabernet Franc. This is a stunner and certainly a richer, more substantial and potentially more complex wine than even the 2014. Drink now-2028.""",85.99,https://vinchicago.com/wines/6405-detail
November 2017 Newsletter,Billecart-Salmon Brut Rose Champagne NV,,['93'],"(11/15/2016) ""A lovely rosé in an almost vinous style, with mouthwatering acidity and a fine, lacy mousse carrying appealing flavors of ripe raspberry, white cherry fruit, star anise, mandarin orange peel and honeysuckle. Lightly chalky on the lasting finish. Enjoy with food. Drink now through 2020.""",Unlisted,https://vinchicago.com/wines/Billecart-Salmon-Brut-Rose-Champagne-NV-750-ML-detail
November 2017 Newsletter,"Bogle ""Phantom"" Red 2014 3.0 LT",,['90'],"(9/27/2017) ""Violet color. Fruity aromas and flavors of chocolate raisins, butter-roasted nuts, hint of crispy bacon, and delicate spices and cola with a silky, bright, dry-yet-fruity medium body and a smooth, medium-long cherry gastrique and sesame seeds finish with silky, dusty tannins and light oak. A tasty and well-balanced red that is sure to please.""",68.99,https://vinchicago.com/wines/magnums/6394-detail
November 2017 Newsletter,Darioush Napa Valley Cabernet Franc 2014,,['92'],"(11/2017) We've always loved the Darioush Cabernet Sauvignon. This is the first time we've featured their Cab Franc, and we think you're going to love it! As you'd expect from Darioush, it is big and bold, with great complexity. Dense and layered, the palate is oozing with black and blue fruits. Black currant, blueberry, smoke, bramble, tobacco and vanilla all come through, with the experience culminating in a long chocolatey finish. Good stuff here.",Unlisted,https://vinchicago.com/wines/6416-detail
November 2017 Newsletter,Beaux Freres Willamette Valley Pinot Noir 2015,,['92'],"(7/2017) ""Rich and open-knit, yet well-structured, with expressive violet and blueberry aromas and layered dark plum, black tea and spice flavors. Drink now through 2024.""",49.99,https://vinchicago.com/wines/Beaux-Freres-Willamette-Valley-Pinot-Noir-2015-750-ML-detail
November 2017 Newsletter,Col Solare Red Mountain Proprietary Red 2013,,"['94', '94']","(6/29/2016) ""Coming from the Col Solare and Quintessence vineyards on Red Mountain, the 2013 Proprietary Red is a rich, fabulously textured, full-bodied effort the has tons of black cherry and cassis fruits intermixed with notes of licorice, smoked herbs, graphite and lead pencil aromas and flavors. Made from a blend of 88% Cabernet Sauvignon, 6% Cabernet Franc, 4% Merlot and 2% Malbec that spent 22 months in 100% new French oak, drink this pure, layered and polished Red Mountain Bordeaux blend over the coming 15-20 years.""",48.99,https://vinchicago.com/wines/6404-detail
November 2017 Newsletter,Antica Napa Valley Cabernet Sauvignon 2013,,"['93', '94', '94', '94']","(12/30/2015) ""A beautifully elegant, stylish Cabernet Sauvignon from the Antinori outpost in Napa Valley, their 2013 has a dense ruby/ purple color, a beautiful, sweet kiss of pure blackcurrant fruit, licorice and forest floor. Full-bodied, but with creamy texture, sweet, beautifully integrated acidity, tannin and alcohol, this is an impressively well-crafted wine that's drinkable now, but should evolve nicely for another 15-20 years. Drink Date 2016 - 2036.""",Unlisted,https://vinchicago.com/wines/6403-detail
November 2017 Newsletter,"Prisoner Wine Company ""The Prisoner"" Napa Valley Red Blend 2016","The latest vintage of Prisoner has just been released! Dense and rich, it offers plenty of concentration with fruit-forward flavors that scream Napa Valley. The oak is well integrated as are the jammy notes. Full-bodied yet light and playful, it has the unctuous profile that has made this wine such a legend!",[],"(12/30/2015) ""A beautifully elegant, stylish Cabernet Sauvignon from the Antinori outpost in Napa Valley, their 2013 has a dense ruby/ purple color, a beautiful, sweet kiss of pure blackcurrant fruit, licorice and forest floor. Full-bodied, but with creamy texture, sweet, beautifully integrated acidity, tannin and alcohol, this is an impressively well-crafted wine that's drinkable now, but should evolve nicely for another 15-20 years. Drink Date 2016 - 2036.""",39.99,https://vinchicago.com/wines/6363-detail
November 2017 Newsletter,"Herencia Altes ""La Serra Negre"" Terra Alta Carinyena/Garnatxa Negra 2015","Only a few cases available of this tiny-production, single-vineyard gem...",['93'],"(10/28/2016) ""The 2015 La Serra Negre is a blend of old-vine Cariñena with 20% Garnacha from a single vineyard that names the wine. I see a lot less oak here, and the wines are showing better balance, more purity and letting the terroir shine through. This is a great Cariñena with the floral and tree bark notes, both earthy and ethereal. The palate shows some grainy, chalky tannins that provide a very tasty, almost salty finish. 2,000 bottles produced.""",34.99,https://vinchicago.com/wines/6406-detail
November 2017 Newsletter,Domaine de la Cote Sta Rita Hills Estate Pinot Noir 2014,A highly rated California Pinot Noir from a rockstar winemaking team at a blow-out price!,"['97', '93']","(9/2017) If you love elegant, complex, skillfully crafted Pinot Noir - and who doesn't? - this beauty from superstars Raj Parr and Sashi Moorman should not be missed. Showing a pale ruby color with streaks of light purplish pink, this bottling has textbook Pinot Noir aesthetics. On the nose, it is immediately and delightfully recognizable as classic Pinot. There is an old world, Burgundy-like quality to the flavors, including forward and delicious red fruits along with variations of earth and rocky minerality. Medium in body and offering tremendous depth, this refined bottle of California Pinot Noir absolutely delivers. Decanter Magazine describes it as ""a juicy cross between Burgundy's Volnay and Beaujolais' Morgon."" Well said!",34.79,https://vinchicago.com/wines/6391-detail
November 2017 Newsletter,"Red Newt Cellars ""Lahoma Vineyards - The Knoll"" Finger Lakes Riesling 2014",,"['92', '95']","(7/2016) ""An extraordinary wine, this is Finger Lakes dry Riesling at its finest. The nose is an exotic combination of kefir lime, lemon candy, mint, and thyme. The palate is just as expressive as the nose, offering a perfect balance between flesh and acid-rather than one swelling as the other dwindles, they march in sync from entry through to finish. A wine of remarkable intensity and purity, the 2014 The Knoll concludes with an epic finish of tremendous mineral depth. 5 grams per liter residual sugar. Drinking window: 2016 - 2031.""",31.99,https://vinchicago.com/wines/6387-detail
November 2017 Newsletter,"William Hill ""Benchland Series"" Napa Valley Chardonnay 2014",,"['92', '92']","(10/28/2016) ""A real knockout is the 2014 Chardonnay Benchland Series, 100% Napa Valley, coming from elevated Benchland estate vineyards, more than half of them in St. Helena and the rest farther south in Carneros. Put through partial malolactic and aged 15 months in new and used French oak (50% new and the rest used French oak), this is a much bigger wine (14.9% alcohol) and exhibits that with its almost Chablis-like minerality, striking lemon zest, orange blossom and apple-butter-like notes. It is a beauty, medium to full-bodied, refreshing, with good acidity and surprisingly little evidence of oak. This is a much smaller cuvée of only 1,500 cases. Drink now-2020.""",29.99,https://vinchicago.com/wines/6290-detail
November 2017 Newsletter,"Argyle ""Reserve"" Willamette Valley Pinot Noir 2014",,"['93', '92']","(8/31/2017) ""Bright, pale ruby in color, the 2014 Pinot Noir Reserve delivers expressive kirsch, pomegranate and raspberry leaves notes with underlying lavender, rosemary and underbrush hints. Medium-bodied with loads of energy and grace in the mouth, it has exuberant red cherry and earth flavors with great length and depth. Drink Date: 2017 - 2023.""",29.99,https://vinchicago.com/wines/6288-detail
November 2017 Newsletter,"Charles Ellner ""Carte Blanche"" Brut Champagne NV",Tasty bottle of Champagne. Super low price. Hard to argue with that!,['91'],"(11/15/2017) ""This lively Champagne is bright and balanced, with spicy mineral and graphite accents underscoring the poached pear, crushed black currant, toast and grated ginger notes. Crisp and lingering. Zesty finish. Drink now.""",28.99,https://vinchicago.com/wines/Charles-Ellner-Carte-Blanche-Brut-Champagne-NV-750-ML-detail
November 2017 Newsletter,Rombauer  Carneros Merlot 2013,,['90'],"(11/2016) ""Plump and supple, with red currant and rose petal aromas and elegantly complex flavors of black cherry, mocha and spice. Drink now through 2026. 14,100 cases made.""",27.99,https://vinchicago.com/wines/6395-detail
November 2017 Newsletter,"Green & Red ""Chiles Mill Vineyards"" Napa Valley Estate Zinfandel  2014",,"['91', '91', '92']","(2/2017) ""This wine grows at the first site Jay Heminway planted at his property in the eastern hills of Napa Valley, the vines replanted in the mid-90s after the original vineyard succumbed to phylloxera. The plant material came from Trentadue Ranch, from an old block that Ridge uses for Geyserville, so the cuttings included a bit of petite sirah, syrah, carignan, grenache and some Italian varieties. The 2014 is clean and direct in its raspberry ripeness, darkened and softened by oak aging. There's a comforting feel to the raspy fruit tannins, lasting on gentle minerality and spice. This is built for roast venison or lamb. (1,274 cases)""",27.99,https://vinchicago.com/wines/6390-detail
November 2017 Newsletter,Ampeleia Toscana Alicante 2016,,['92'],"(11/2017) Not only does the brilliant Elisabetta Foradori produce mindblowing reds in her home zone of Trento, she also crafts delicious wines in Tuscany! This bottling is 100% Alicante (aka Grenache) sustainably, and uniquely, grown in sandy soils. With its earthy red fruit, hints of pepper and elegant mouthfeel, this offering drinks like a top Cru Beaujolais crossed with a traditionally styled Châteauneuf. Offering big flavor and a huge amount of natural energy, this is a very, very cool wine.",27.99,https://vinchicago.com/wines/6385-detail
November 2017 Newsletter,Domaine Gachot-Monot Cotes de Nuits Villages Rouge 2014,,['91'],"(11/2017) Domaine Gachot-Monot is a tiny Burgundy grower based in Nuits St. George. Imported by Kermit Lynch, this bottling comes from 45+ year old vines grown in clay and limestone. Kermit says of this wine and owner Damien Gachot... ""Thanks to his efforts and dedication, we get a Côtes de Nuits Villages that tastes more like Nuits-St-Georges than village Burgundy."" Look for high-pitched minerality, taut red fruits and a subtly fleshy mouthfeel. This 2014 is an over-delivering effort that lovers of lighterstyle, elegant Pinot Noir will adore. To get the most out of this one, make sure to decant a few hours before serving!",25.99,https://vinchicago.com/wines/6417-detail
November 2017 Newsletter,"Two Hands ""Sexy Beast"" McLaren Vale Cabernet Sauvignon 2015",We've just reloaded on this powerful beauty-of-a-Cabernet!,['93'],"(4/12/2017) ""Impressive, with a plush, seductive and succulent body, offering sink-your-teeth-into-them flavors of black cherry, blackberry and plum, accented by details of dark chocolate, rose petal and savory. Drink now through 2025.""",24.99,https://vinchicago.com/wines/6344-detail
November 2017 Newsletter,"Maxime Magnon ""Rozeta"" Corbieres 2014",Median online retail is $35. We're letting this gem fly for nearly a third less!,"['92', '91']","(4/2016) ""Another winner is the 2014 Corbieres Rozeta, which checks in as a blend of 40% Carignan, and 30% each of Grenache and Cinsault. Vibrant, juicy and seamless, with lots of sweet cherry and juicy berry fruits, flowers and some walnut oil-like characteristics, this medium-bodied, beautifully balanced and unique Corbières can be enjoyed anytime over the coming 5-7 years.""",23.99,https://vinchicago.com/wines/6342-detail
November 2017 Newsletter,Rombauer Napa Valley Sauvignon Blanc 2016,,['91'],"(11/2017) This quintessential Napa Valley Sauvignon Blanc is a relatively new addition to the Rombauer family's line-up. Produced entirely in stainless steel, it doesn't see one bit of exposure to oxygen before it is bottled; the first time the wine is ever exposed to air is when you open it! The resulting wine is literally bursting with freshness. Look for classic flavors of white peach, lemon, lime zest and just a touch of fresh cut grass. This is one VERY well made Sauvignon Blanc.",Unlisted,https://vinchicago.com/wines/6379-detail
November 2017 Newsletter,Novy Russian River Valley Zinfandel 2015,,"['90', '91', '90']","(4/28/2017) "" Deep garnet-purple colored, the 2015 Zinfandel Russian River Valley offers expressive blackberry, black cherry and baking spice notes with a touch of licorice. Full-bodied, concentrated and purely fruited in the mouth, it has a gorgeous velvety texture and a delightful burst of blackberry flavors on the long finish. Drink Date: 2017 - 2021.""",22.99,https://vinchicago.com/wines/6365-detail
